,AdID,Type,Link,TimeScraped
1033,6389005,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6389005/,2021-03-08 18:38:01.722281
1034,6359918,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6359918/,2021-03-08 18:38:01.726272
1035,6390439,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6390439/,2021-03-08 18:38:01.730262
1036,6390433,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6390433/,2021-03-08 18:38:01.733253
1037,6389088,Stanovanje,/oglasi-prodaja/rudnik-stanovanje_6389088/,2021-03-08 18:38:01.737243
1038,6388630,Stanovanje,/oglasi-prodaja/rudnik-2-parkirni-mesti-atrij-stanovanje_6388630/,2021-03-08 18:38:01.741232
1039,6377449,Stanovanje,/oglasi-prodaja/rudnik-hradeckega-stanovanje_6377449/,2021-03-08 18:38:01.744224
1040,6351780,Stanovanje,/oglasi-prodaja/rudnik-izanska-stanovanje_6351780/,2021-03-08 18:38:01.748213
1041,6382337,Stanovanje,/oglasi-prodaja/rudnik-izanska-stanovanje_6382337/,2021-03-08 18:38:01.751205
1042,6368168,Stanovanje,/oglasi-prodaja/rudnik-jurckova-96-stanovanje_6368168/,2021-03-08 18:38:01.755195
1043,6392180,Stanovanje,/oglasi-prodaja/rudnik-jurckova-96-stanovanje_6392180/,2021-03-08 18:38:01.759184
1044,6384690,Stanovanje,/oglasi-prodaja/rudnik-jurckova-96-stanovanje_6384690/,2021-03-08 18:38:01.762176
1045,6392188,Stanovanje,/oglasi-prodaja/rudnik-jurckova-96-stanovanje_6392188/,2021-03-08 18:38:01.766165
1046,6347309,Stanovanje,/oglasi-prodaja/rudnik-jurckova-cesta-stanovanje_6347309/,2021-03-08 18:38:01.769157
1047,6274643,Stanovanje,/oglasi-prodaja/rudnik-na-robu-lj-golovca-vinterca-stanovanje_6274643/,2021-03-08 18:38:01.773147
1048,6385903,Stanovanje,/oglasi-prodaja/rudnik-peruzzijeva-vila-bober-stanovanje_6385903/,2021-03-08 18:38:01.776139
1049,6385596,Stanovanje,/oglasi-prodaja/rudnik-peruzzijeva-vila-bober-s-teraso-stanovanje_6385596/,2021-03-08 18:38:01.779131
1050,6388052,Stanovanje,/oglasi-prodaja/rudnik-spodnji-ii-stanovanje_6388052/,2021-03-08 18:38:02.984437
1051,6380017,Stanovanje,/oglasi-prodaja/rudnik-zacetek-crne-vasi-stanovanje_6380017/,2021-03-08 18:38:02.988426
1052,6381237,Stanovanje,/oglasi-prodaja/savlje-stanovanje_6381237/,2021-03-08 18:38:02.993412
1053,6389610,Stanovanje,/oglasi-prodaja/savlje-stanovanje_6389610/,2021-03-08 18:38:02.997403
1054,6386781,Stanovanje,/oglasi-prodaja/savlje-stanovanje_6386781/,2021-03-08 18:38:03.001392
1055,6381882,Stanovanje,/oglasi-prodaja/savsko-naselje-stanovanje_6381882/,2021-03-08 18:38:03.004383
1056,6385754,Stanovanje,/oglasi-prodaja/savsko-naselje-fabianijeva-ulica-15-stanovanje_6385754/,2021-03-08 18:38:03.011365
1057,6393074,Stanovanje,/oglasi-prodaja/sostro-stanovanje_6393074/,2021-03-08 18:38:03.018346
1058,6391650,Stanovanje,/oglasi-prodaja/sostro-stanovanje_6391650/,2021-03-08 18:38:03.026325
1059,6365976,Stanovanje,/oglasi-prodaja/sostro-stanovanje_6365976/,2021-03-08 18:38:03.032310
1060,6380550,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6380550/,2021-03-08 18:38:03.037294
1061,6392510,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6392510/,2021-03-08 18:38:03.046271
1062,6391394,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6391394/,2021-03-08 18:38:03.056246
1063,6362537,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6362537/,2021-03-08 18:38:03.065220
1064,6339341,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6339341/,2021-03-08 18:38:03.073200
1065,6182836,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6182836/,2021-03-08 18:38:03.079184
1066,6322852,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6322852/,2021-03-08 18:38:03.087161
1067,6392407,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6392407/,2021-03-08 18:38:03.094146
1068,6385053,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6385053/,2021-03-08 18:38:03.099131
1069,6386362,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6386362/,2021-03-08 18:38:03.103120
1070,6389774,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6389774/,2021-03-08 18:38:03.110101
1071,6388859,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6388859/,2021-03-08 18:38:03.115087
1072,6338669,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6338669/,2021-03-08 18:38:03.120074
1073,6381764,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6381764/,2021-03-08 18:38:03.127054
1074,6349866,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6349866/,2021-03-08 18:38:03.134036
1075,6318680,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6318680/,2021-03-08 18:38:03.138026
1076,6261507,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6261507/,2021-03-08 18:38:03.142014
1077,6300324,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6300324/,2021-03-08 18:38:03.145007
1078,6352459,Stanovanje,/oglasi-prodaja/sp-siska-stanovanje_6352459/,2021-03-08 18:38:03.150990
1079,6273832,Stanovanje,/oglasi-prodaja/sp-siska-celovska-cesta-stanovanje_6273832/,2021-03-08 18:38:03.156975
1080,6309898,Stanovanje,/oglasi-prodaja/sp-siska-celovska-cesta-stanovanje_6309898/,2021-03-08 18:38:03.977780
1081,6267222,Stanovanje,/oglasi-prodaja/sp-siska-jesenkova-nasproti-park-tivoli-stanovanje_6267222/,2021-03-08 18:38:03.980773
