,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
4368,6375616,"TACEN, BROD, GAMELJNE ŠIŠKA",Stanovanje,2021,/oglasi-prodaja/tacen-brod-gameljne-siska-stanovanje_6375616/,Fundus RE d.o.o.,114.0,445000.0,2021-03-08 16:18:56.639594
4369,6375627,"TACEN, BROD, GAMELJNE ŠIŠKA",Stanovanje,2021,/oglasi-prodaja/tacen-brod-gameljne-siska-stanovanje_6375627/,Fundus RE d.o.o.,165.0,575000.0,2021-03-08 16:18:56.644581
4370,6369290,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6369290/,Vento Forte d.o.o. ,47.0,117000.0,2021-03-08 16:18:56.648571
4371,6354149,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6354149/,Vento Forte d.o.o. ,51.0,120000.0,2021-03-08 16:18:56.653557
4372,6354154,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6354154/,Vento Forte d.o.o. ,58.0,145000.0,2021-03-08 16:18:56.658544
4373,6204490,TAR,Stanovanje,2005,/oglasi-prodaja/tar-stanovanje_6204490/,"Sonce skupina d.o.o., PE Ljubljana",60.0,84000.0,2021-03-08 16:18:56.662533
4374,6369298,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6369298/,Vento Forte d.o.o. ,64.0,160800.0,2021-03-08 16:18:56.667520
4375,6354156,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6354156/,Vento Forte d.o.o. ,66.0,157000.0,2021-03-08 16:18:56.672507
4376,6387352,TAR,Stanovanje,2020,/oglasi-prodaja/tar-stanovanje_6387352/,Mood On J. d.o.o.,73.0,171000.0,2021-03-08 16:18:56.677493
4377,6369293,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6369293/,Vento Forte d.o.o. ,76.0,167376.0,2021-03-08 16:18:56.687466
4378,6369295,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6369295/,Vento Forte d.o.o. ,77.0,169312.0,2021-03-08 16:18:56.702427
4379,6369291,TAR,Stanovanje,2021,/oglasi-prodaja/tar-stanovanje_6369291/,Vento Forte d.o.o. ,78.0,171700.0,2021-03-08 16:18:56.711404
4380,6255895,TENERIFE,Stanovanje,1996,/oglasi-prodaja/tenerife-stanovanje_6255895/,Zasebna ponudba,60.0,90000.0,2021-03-08 16:18:57.637312
4381,6372768,TEZNO,Stanovanje,1964,/oglasi-prodaja/tezno-stanovanje_6372768/,"RE/MAX Avenija, Nepremičnine Maribor d.o.o.",40.8,72000.0,2021-03-08 16:18:57.642299
4382,6372290,TEZNO,Stanovanje,1987,/oglasi-prodaja/tezno-stanovanje_6372290/,Zasebna ponudba,55.9,104000.0,2021-03-08 16:18:57.648249
4383,6364028,TEZNO,Stanovanje,1964,/oglasi-prodaja/tezno-stanovanje_6364028/,Zasebna ponudba,58.0,92700.0,2021-03-08 16:18:57.654233
4384,6369710,TEZNO,Stanovanje,1988,/oglasi-prodaja/tezno-stanovanje_6369710/,"Galea, nepremičnine, posredovanje d.o.o.",79.2,129000.0,2021-03-08 16:18:57.660217
4385,6392411,"TEZNO, MARIBOR",Stanovanje,1959,/oglasi-prodaja/tezno-maribor-stanovanje_6392411/,"Idila nepremičnine, Damijan Kokol s.p.",49.3,63900.0,2021-03-08 16:18:57.666201
4386,6243098,"TEZNO, ULICA HEROJA NANDETA 52, STRAŽUN",Stanovanje,2005,/oglasi-prodaja/tezno-ulica-heroja-nandeta-52-strazun-stanovanje_6243098/,Zasebna ponudba,107.3,139000.0,2021-03-08 16:18:57.671188
4387,6335171,TOLMIN,Stanovanje,1975,/oglasi-prodaja/tolmin-stanovanje_6335171/,Zasebna ponudba,55.94,92000.0,2021-03-08 16:18:57.678169
4388,6365039,TOMAČEVO,Stanovanje,1998,/oglasi-prodaja/tomacevo-stanovanje_6365039/,Mreža nepremičnin d.o.o.,26.32,75000.0,2021-03-08 16:18:57.684153
4389,6325129,TOMAČEVO,Stanovanje,1998,/oglasi-prodaja/tomacevo-stanovanje_6325129/,Mreža nepremičnin d.o.o.,26.32,75000.0,2021-03-08 16:18:57.689140
4390,6385547,TRATA,Stanovanje,1985,/oglasi-prodaja/trata-stanovanje_6385547/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",56.0,162000.0,2021-03-08 16:18:57.702140
4391,6390801,TRBOVLJE,Stanovanje,1985,/oglasi-prodaja/trbovlje-stanovanje_6390801/,Zasebna ponudba,31.1,49000.0,2021-03-08 16:18:57.709120
4392,6388537,TRBOVLJE,Stanovanje,1910,/oglasi-prodaja/trbovlje-stanovanje_6388537/,Zasebna ponudba,54.0,35000.0,2021-03-08 16:18:57.714107
4393,6332723,TRBOVLJE,Stanovanje,1973,/oglasi-prodaja/trbovlje-stanovanje_6332723/,Zasebna ponudba,72.0,120000.0,2021-03-08 16:18:57.718087
4394,6383348,TRBOVLJE,Stanovanje,1893,/oglasi-prodaja/trbovlje-stanovanje_6383348/,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",112.7,89000.0,2021-03-08 16:18:57.723082
4395,6306832,TRBOVLJE,Stanovanje,1999,/oglasi-prodaja/trbovlje-stanovanje_6306832/,"Boštjan Hudomalj s.p., PE Agenti nepremičnine Zasavje",138.9,120000.0,2021-03-08 16:18:57.728071
4396,6389191,TRBOVLJE,Stanovanje,1973,/oglasi-prodaja/trbovlje-stanovanje_6389191/,"Boštjan Hudomalj s.p., PE Agenti nepremičnine Zasavje",188.3,143000.0,2021-03-08 16:18:57.732058
4397,6391528,"TRBOVLJE, DOM IN VRT",Stanovanje,1961,/oglasi-prodaja/trbovlje-dom-in-vrt-stanovanje_6391528/,Zasebna ponudba,55.0,62000.0,2021-03-08 16:18:57.737046
4398,6391988,"TRBOVLJE, TRG SVOBODE 30",Stanovanje,1980,/oglasi-prodaja/trbovlje-trg-svobode-30-stanovanje_6391988/,Zasebna ponudba,50.0,77000.0,2021-03-08 16:18:57.741996
4399,6378178,"TRBOVLJE, ZGORNJI DEL MESTA",Stanovanje,1957,/oglasi-prodaja/trbovlje-zgornji-del-mesta-stanovanje_6378178/,CIC d.o.o.,81.1,76000.0,2021-03-08 16:18:57.746983
4400,6391716,TREBNJE,Stanovanje,1973,/oglasi-prodaja/trebnje-stanovanje_6391716/,Hiša nepremičnine 1 d.o.o.,120.5,193000.0,2021-03-08 16:18:57.750972
4401,6376438,"TREBNJE, CENTER",Stanovanje,2018,/oglasi-prodaja/trebnje-center-stanovanje_6376438/,Zasebna ponudba,67.0,158000.0,2021-03-08 16:18:57.755962
4402,6378734,"TREBNJE, CENTER",Stanovanje,2021,/oglasi-prodaja/trebnje-center-stanovanje_6378734/,Zasebna ponudba,93.0,1900.0,2021-03-08 16:18:57.761945
4403,6391017,"TREBNJE, GUBČEVA CESTA, BLOK NAD SODIŠČEM",Stanovanje,1991,/oglasi-prodaja/trebnje-gubceva-cesta-blok-nad-sodiscem-stanovanje_6391017/,Zasebna ponudba,58.0,130000.0,2021-03-08 16:18:57.767929
4404,6389675,"TREBNJE, SLOVENSKA VAS - ŠENTRUPERT",Stanovanje,1970,/oglasi-prodaja/trebnje-slovenska-vas-sentrupert-stanovanje_6389675/,Zasebna ponudba,24.0,31900.0,2021-03-08 16:18:57.773912
4405,6339794,TRIBAN,Stanovanje,2001,/oglasi-prodaja/triban-stanovanje_6339794/,Veda nepremičnine d.o.o.,60.0,165000.0,2021-03-08 16:18:57.778900
4406,6381673,TRNOVO,Stanovanje,1983,/oglasi-prodaja/trnovo-stanovanje_6381673/,Zasebna ponudba,32.6,139000.0,2021-03-08 16:18:57.784883
4407,6389833,TRNOVO,Stanovanje,1985,/oglasi-prodaja/trnovo-stanovanje_6389833/,Zasebna ponudba,32.7,120000.0,2021-03-08 16:18:57.796885
4408,6383431,TRNOVO,Stanovanje,1967,/oglasi-prodaja/trnovo-stanovanje_6383431/,KREATIVDOM d.o.o.,57.35,231000.0,2021-03-08 16:18:57.804875
4409,6385251,TRNOVO,Stanovanje,1967,/oglasi-prodaja/trnovo-stanovanje_6385251/,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. ",58.0,231000.0,2021-03-08 16:18:57.809853
