,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
119,6201113,BRTONIGLA,Hiša,1900.0,/oglasi-prodaja/brtonigla-hisa_6201113/,M.I N. Aquila d.o.o.,70.0,150000.0,2021-03-08 14:10:27.431995
120,6358534,BRTONIGLA,Hiša,1960,/oglasi-prodaja/brtonigla-hisa_6358534/,Universum d.o.o.,76.0,150000.0,2021-03-08 14:10:28.973075
121,6383208,BRTONIGLA,Hiša,1921,/oglasi-prodaja/brtonigla-hisa_6383208/,Market center Omnis d.o.o.,90.0,145000.0,2021-03-08 14:10:28.977065
122,6361849,BRTONIGLA,Hiša,1910,/oglasi-prodaja/brtonigla-hisa_6361849/,"Sonce skupina d.o.o., PE Ljubljana",93.0,195000.0,2021-03-08 14:10:28.981019
123,6258515,BRTONIGLA,Hiša,1985,/oglasi-prodaja/brtonigla-hisa_6258515/,M.I N. Aquila d.o.o.,132.0,129000.0,2021-03-08 14:10:28.986040
124,6052950,BRTONIGLA,Hiša,1999,/oglasi-prodaja/brtonigla-hisa_6052950/,"Sonce skupina d.o.o., PE Ljubljana",150.0,220000.0,2021-03-08 14:10:28.990032
125,6115303,BRTONIGLA,Hiša,1950,/oglasi-prodaja/brtonigla-hisa_6115303/,"Sonce skupina d.o.o., PE Ljubljana",180.0,120000.0,2021-03-08 14:10:28.994022
126,6385266,BRTONIGLA,Hiša,1900,/oglasi-prodaja/brtonigla-hisa_6385266/,,180.0,220000.0,2021-03-08 14:10:28.999005
127,6385201,BRTONIGLA,Hiša,1900,/oglasi-prodaja/brtonigla-hisa_6385201/,,190.0,230000.0,2021-03-08 14:10:29.002997
128,6083359,BRTONIGLA,Hiša,2012,/oglasi-prodaja/brtonigla-hisa_6083359/,"Sonce skupina d.o.o., PE Ljubljana",200.0,220000.0,2021-03-08 14:10:29.006984
129,6385306,BRTONIGLA,Hiša,2011,/oglasi-prodaja/brtonigla-hisa_6385306/,,204.0,250000.0,2021-03-08 14:10:29.010976
130,6345500,BRTONIGLA,Hiša,2019,/oglasi-prodaja/brtonigla-hisa_6345500/,Universum d.o.o.,230.0,995000.0,2021-03-08 14:10:29.015963
131,6378913,BRTONIGLA,Hiša,2021,/oglasi-prodaja/brtonigla-hisa_6378913/,"Sonce skupina d.o.o., PE Ljubljana",233.0,380000.0,2021-03-08 14:10:29.019953
132,6389138,BRTONIGLA,Hiša,2021,/oglasi-prodaja/brtonigla-hisa_6389138/,Universum d.o.o.,233.0,380000.0,2021-03-08 14:10:29.023939
133,6345501,BRTONIGLA,Hiša,2019,/oglasi-prodaja/brtonigla-hisa_6345501/,Universum d.o.o.,345.0,1150000.0,2021-03-08 14:10:29.028929
134,6222655,BRTONIGLA,Hiša,1930,/oglasi-prodaja/brtonigla-hisa_6222655/,"Sonce skupina d.o.o., PE Ljubljana",400.0,250000.0,2021-03-08 14:10:29.032915
135,6352856,BRTONIGLA,Posest,,/oglasi-prodaja/brtonigla-posest_6352856/,Universum d.o.o.,510.0,112000.0,2021-03-08 14:10:29.036905
136,6352855,BRTONIGLA,Posest,,/oglasi-prodaja/brtonigla-posest_6352855/,Universum d.o.o.,530.0,115000.0,2021-03-08 14:10:29.040895
137,6291260,BRTONIGLA,Posest,,/oglasi-prodaja/brtonigla-posest_6291260/,Kormoran d.o.o.,1671.0,100300.0,2021-03-08 14:10:29.045882
138,6361576,BRTONIGLA,Posest,,/oglasi-prodaja/brtonigla-posest_6361576/,"Sonce skupina d.o.o., PE Ljubljana",3618.0,255000.0,2021-03-08 14:10:29.049870
139,6370867,BRTONIGLA,Posest,,/oglasi-prodaja/brtonigla-posest_6370867/,Universum d.o.o.,4075.0,220000.0,2021-03-08 14:10:29.053862
140,6385187,"BRTONIGLA, FIORINI",Stanovanje,2014,/oglasi-prodaja/brtonigla-fiorini-stanovanje_6385187/,,160.0,239000.0,2021-03-08 14:10:29.058848
141,6385662,"BRTONIGLA, FIORINI",Poslovni prostor,2014,/oglasi-prodaja/brtonigla-fiorini-poslovni-prostor_6385662/,,160.0,239000.0,2021-03-08 14:10:29.062798
142,6385263,"BRTONIGLA, FIORINI",Posest,,/oglasi-prodaja/brtonigla-fiorini-posest_6385263/,,8627.0,69016.0,2021-03-08 14:10:29.066827
143,6385313,"BRTONIGLA, FIORINI",Posest,,/oglasi-prodaja/brtonigla-fiorini-posest_6385313/,,9523.0,76184.0,2021-03-08 14:10:29.071811
144,6385324,"BRTONIGLA, FIORINI",Posest,,/oglasi-prodaja/brtonigla-fiorini-posest_6385324/,,18150.0,145200.0,2021-03-08 14:10:29.075804
145,5950956,"BRTONIGLA, NASELJE TURINI",Posest,,/oglasi-prodaja/brtonigla-naselje-turini-posest_5950956/,Zasebna ponudba,2800.0,120000.0,2021-03-08 14:10:29.079790
146,6291467,"BRTONIGLA, NOVA VAS",Hiša,2010,/oglasi-prodaja/brtonigla-nova-vas-hisa_6291467/,Vento Forte d.o.o. ,106.0,149000.0,2021-03-08 14:10:29.084776
147,6391271,"BRTONIGLA, NOVA VAS - C",Hiša,2019,/oglasi-prodaja/brtonigla-nova-vas-c-hisa_6391271/,D5 Ing d.o.o.,278.74,750000.0,2021-03-08 14:10:29.088765
148,6266436,"BRTONIGLA, U",Posest,,/oglasi-prodaja/brtonigla-u-posest_6266436/,D5 Ing d.o.o.,1740.0,40000.0,2021-03-08 14:10:29.092755
149,6382863,BRUNŠVIK,Hiša,1966,/oglasi-prodaja/brunsvik-hisa_6382863/,Agencija i3 d.o.o.,181.0,174990.0,2021-03-08 14:10:29.097742
