,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Leto zadnje prenove,Opremljenost in stanje,Energetski razred,Možnost menjave,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Interna številka oglasa
607,6066368,16.02.2021dne16:20,"
19dni,3h,39min.
",870-krat,"
podogovoru",Skupna cena,Prodam,"Savinjska, Prebold, Prebold",V večstanovanjski stavbi,Pritličje,,,"55,00 m²",,,2021,Delno opremljeno,,,,,,
608,6315669,16.02.2021dne15:44,"
doprodaje",338-krat,"

68.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",,5.,12,Garsonjera,"17,00 m²","17,00 m²",1983,2018,,D (60 - 105 kWh/m2a),,,,,R53
609,6315147,16.02.2021dne12:58,"
3dni,16h,31min.
",317-krat,"

175.000 €
",Skupna cena,Prodam,"Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju",V večstanovanjski stavbi,2.,2,3-sobno,"94,00 m²","122,00 m²",2008,2020,Popolnoma opremljeno,,,2,Terasa,,
610,1455130,16.02.2021dne12:26,"
12dni,14h,48min.
",779-krat,"

485.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Opatija",V večstanovanjski stavbi,Visoko pritličje,,4-sobno,"215,00 m²","185,00 m²",1985,2015,,,Možna menjava za drugo nepremičnino,,"Balkon, Zaprt balkon, Terasa",,
611,5967858,16.02.2021dne11:57,"
doprodaje",310-krat,"

230.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Zupančičeva jama",V večstanovanjski stavbi,3.,5,"2,5-sobno","63,40 m²","65,90 m²",1990,2016,Delno opremljeno,C (35 - 60 kWh/m2a),,,,,100689
612,1447935,16.02.2021dne00:38,"
3dni,4h,11min.
",4742-krat,"

118.000 €
",Skupna cena,Prodam,"Gorenjska, Tržič, Tržič",V večstanovanjski stavbi,Pritličje,1,2-sobno,"72,00 m²","88,00 m²",1993,2004,Delno opremljeno,EI v izdelavi,Menjava za drugo nepremičnino ni možna,2,,,
613,6309946,15.02.2021dne23:04,"
doprodaje",189-krat,"

86.000 €
",Skupna cena,Prodam,"Pomurska, Gornja Radgona, Aženski Vrh",,Pritličje,,2-sobno,,"59,60 m²",2017,,,,,,Atrij,,PS4646512MR
614,3433385,15.02.2021dne19:25,"
2dni,22h,58min.
",4893-krat,"

13.990 €
",Skupna cena,Prodam,"Koroška, Podvelka, Podvelka",V večstanovanjski stavbi,2.,2,2-sobno,"51,70 m²","51,70 m²",1850,2008,,,,,,,
615,6309096,15.02.2021dne19:25,"
doprodaje",593-krat,"

194.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Radvanje",V večstanovanjski stavbi,2.,3,"2,5-sobno","80,80 m²","63,70 m²",2012,,,C (35 - 60 kWh/m2a),,,Terasa,,
616,5127421,15.02.2021dne16:55,"
2dni,20h,28min.
",2399-krat,"

85.000 €
",Skupna cena,Prodam,"Pomurska, Murska Sobota, Murska Sobota",V večstanovanjski stavbi,3.,8,3-sobno,"70,86 m²","78,30 m²",1987,,Popolnoma opremljeno,,,,Balkon,,
